city_codes,beds,baths,size,price
267,3,3,1794,320000
267,5,3,2165,355000
193,4,3,2133,299900
267,4,3,2258,350000
295,3,2,1440,343000
267,4,3,2034,349000
193,3,2,1728,325000
267,4,2,1836,319900
193,3,2,1890,305000
295,4,2,1836,305000
193,4,2,1334,299900
193,4,3,2100,319900
193,4,3,1971,320000
267,4,3,1969,324000
193,4,3,1679,310000
267,4,2.1,1766,309999
193,4,3,3272,355000
193,5,3,1998,320000
193,4,3,2110,329000
193,4,3,2035,314900
267,5,3,2098,314900
193,5,3,1800,349800
290,1,1,389,305000
193,3,2,1504,349000
85,2,1,1097,350000
85,1,1,1488,295000
272,2,1,836,329900
85,3,1,800,342900
193,4,3,1679,330000
193,4,3,2841,349900
267,4,2.1,1944,335000
267,3,3,1452,299900
267,3,3,2095,329000
267,5,2.1,1914,339800
199,3,2,1304,315000
267,3,3,1732,319900
133,2,2,1056,327000
207,2,1,572,315000
184,3,2,1560,305000
193,4,2,1784,324999
267,4,2,1600,350000
207,2,1,696,340000
193,3,2,1706,299000
193,3,3,1294,315000
199,3,2,1441,295000
207,2,1,834,299999
267,4,3,1978,310000
267,3,3,2095,299000
281,2,1,1027,350000
199,3,2,1050,325000
193,4,3,2640,355000
193,4,3,2637,332800
193,4,3,1516,328000
70,1,1,624,349900
267,3,2,1384,305000
193,4,2,1606,310000
267,4,3,1670,339900
193,4,3,2154,349000
193,3,2,1430,344146
193,4,2.1,1966,319999
267,4,3,1922,320000
267,3,2,1560,328900
193,5,3,1809,314900
267,3,3,1663,329900
193,4,3,1852,329000
193,3,2,1521,315000
85,3,1,756,340000
267,4,3,2002,319900
184,3,2,1434,325000
200,2,2,1932,340000
193,4,2,1650,295000
133,2,1,1168,335000
193,5,3,2365,345000
193,4,3,2476,315000
267,3,2,1549,324999
193,4,2,1856,334000
267,4,2,1650,309900
290,1,1,594,317988
184,3,3,1519,339000
184,3,2.1,1475,349000
85,2,1,760,349900
267,4,2,1951,344999
267,3,2.1,1886,349000
207,3,2,858,329000
193,4,2,1450,299900
267,2,1,927,350000
193,4,3,2244,319800
204,2,2,1344,339999
138,2,1,741,345000
187,3,1.1,1328,355000
267,2,2,924,295000
290,2,1,1125,348888
204,1,1,576,345000
267,3,2,1581,300000
410,2,1,766,322000
355,3,2.1,1761,350000
355,3,2,1333,325000
193,2,2,1052,299000
267,5,3,1914,319888
267,4,3,1744,324900
232,2,1.1,1100,350000
193,4,2,1858,319000
267,3,2,1402,350000
267,3,3,1782,336200
267,3,3,2360,349999
199,3,2,1800,340000
193,3,2,1704,337900
207,2,1,512,298000
193,3,2,1430,326760
207,1,1,504,330000
125,2,1,936,335000
207,1,1,548,309000
193,3,1,1476,300000
267,4,3,2000,350000
277,5,3,2426,350000
267,3,2,1422,310000
